Trait,Effects,Conflicts,Trait Points,Requirements,Slave Price,Can also be removed with,Description,DLC
Adaptive,#ERROR!,"Nonadaptive
Extremely Adaptive",2,,500,,This species is highly adaptive when it comes to foreign environments.,
Extremely Adaptive,#ERROR!,"Nonadaptive
Adaptive
Lithoid",4,,1000,,This species is remarkably adept at adapting to any foreign environments.,
Agrarian,#ERROR!,Lithoid,2,,500,Targeted Gene Expressions,"This species has a deep connection to the land, and make expert farmers and gardeners.",
Charismatic,#ERROR!,Repugnant,2,,500,Targeted Gene Expressions,"Members of this species have a special charisma, and are generally considered pleasant to be around.",
Communal,−10% Pop housing usage,"Solitary
Shelled",1,,500,,"Members of this species are highly communal, and quite used to living in close proximity to others.",
Conformists,#ERROR!,"Deviants
Hive-Minded",2,,500,,These people always seek consensus and are more likely to conform to the governing ethics.,
Conservationist,−10% Pop consumer goods upkeep,"Wasteful
Hive-Minded",1,,500,,Members of this species believe that resources must be conserved and recycled.,
Docile,−10% Empire size from pops,Unruly,2,,500,,Members of this species are easy to manage and organize. They tend to be cooperative and amicable.,
Enduring,#ERROR!,"Fleeting
Venerable",1,,500,,Lifespans in this species are unusually long.,
Venerable,#ERROR!,"Fleeting
Enduring",4,,1000,,This species can grow to an age that commands dignity and respect.,
Industrious,#ERROR!,,2,,500,Targeted Gene Expressions,"Members of this species are known for their diligent and hard-working nature, always going above and beyond.",
Ingenious,#ERROR!,,2,,500,Targeted Gene Expressions,Members of this species are good at 'thinking outside the box' and know how to maximize the efficiency of their infrastructure and power grids.,
Intelligent,#ERROR!,"Cranial Hypertrophy
Cranial Megatrophy",2,,500,Targeted Gene Expressions,"This species is highly intelligent, and enjoys faster technological progress.",
Natural Engineers,#ERROR!,"Natural Physicists
Natural Sociologists",1,,500,,Members of this species have a natural inclination towards engineering and material sciences.,
Natural Physicists,#ERROR!,"Natural Engineers
Natural Sociologists",1,,500,,Members of this species have a natural inclination towards theoretical physics and astral phenomena.,
Natural Sociologists,#ERROR!,"Natural Physicists
Natural Engineers",1,,500,,Members of this species have a natural inclination towards sociology and biological studies.,
Nomadic,−35% Resettlement cost,Sedentary,1,,500,,"This species has a nomadic past, and its members often think nothing of relocating to another world.",
Quick Learners,#ERROR!,Slow Learners,1,,500,,Members of this species are quick to learn from their experiences.,
