Civic,Description,Effects,Council position,Shroud attunement,Requirements,DLC
Cutthroat Politics,"The political system in this society is renowned for its intrigue. Power struggles, shady backroom deals and cloak and dagger scheming are par for the course. Those who survive long enough to learn the game, however, tend to learn it well.","−20% Edict upkeep
+1 Codebreaking",Prime Speaker,Cradle of Souls,,
Efficient Bureaucracy,"This society is renowned for its efficiency. Not only do the mag-trains run on time, but the colossal bureaucratic apparatus required to run an interstellar nation has been greatly streamlined.","−20%  Bureaucrat upkeep
+2 Edict fund per 100  Bureaucrats
+2 Edict fund per 100  Priests",Superintendent,Instrument of Desire,,
Functional Architecture,"This society is renowned for its simple yet functional architecture. There are those who would refer to this building style as boring or even depressing, but in most cases, neo-concrete does the job just as well as any other building material.","−15% Planetary infrastructure cost
+15% Planetary infrastructure build speed
Can specialize districts without any technology",Master Architect,Composer of Strands,,
Agrarian Idyll,"A simple and peaceful life can often be the most rewarding. This agrarian society has, to a large extent, managed to avoid large-scale urbanization.","+400 Housing from Agriculture districts
+300 Housing from Generator and Mining districts
−200 Housing from City districts
−500 Housing from City segments
+200 Amenities per 100  Farmers
+200 Amenities per 100  Anglers
+200 Amenities per 100  Pearl Divers
Can specialize Agriculture districts without any technology
Can research the Agrarian Utopias technology
Cannot research the Anti-Gravity Engineering technology
Cannot take the Arcology Project ascension perk",Elder Farmer,Composer of Strands,"Pacifist
Not Relentless Industrialists
Not Tankbound
Not Oppressive Autocracy
Not Post-Apocalyptic
Not Remnants
Not Shattered Ring
Not Void Dwellers
Not Volcanic World homeworld",
Aristocratic Elite,This society has an entrenched nobility that occupies the upper echelons of society.,"Can construct Noble Estates buildings
Can construct Noble Chateaus holdings
Capital buildings replace  Politician jobs with  Noble jobs
+10% Job efficiency for Elites
+10% Leader upkeep
20% Chance for leaders to start with an additional positive and negative trait",Lord Steward,Instrument of Desire,"Oligarchic or  Imperial
Not Egalitarian
Not Hard Reset",
Beacon of Liberty,This society is a shining beacon of light in a sea of darkness. Liberty and individual freedoms are held in the highest regard here.,"+10% Monthly unity
+25% Refugee attraction
−10% Empire size from pops
−1 Smuggle Population operation difficulty",Protector of Liberty,Cradle of Souls,"Democratic
Egalitarian
Not Xenophobe
Not Crusader Spirit",
Citizen Service,Are you doing your part? Full citizenship and the political responsibility that comes with it is limited to those who have served a tour of duty in the military. Service guarantees citizenship.,"+2 Unity per 100  Soldiers
+15% Naval capacity
Can construct Recruitment Office holdings
Full Citizenship pops must have Full Military Service and vice versa",Chief of Service,Eater of Worlds,"Democratic or  Oligarchic
Militarist
Not Tankbound
not Fanatic Xenophile
Not Reanimators",
Corvée System,This society considers it the absolute right of the state to decide where its citizens live and work.,"+15% Automatic resettlement chance
+10% Worker pop resource output
−10% Resettlement cost
Removes unity costs for pop resettlement",Employment Commissioner,Composer of Strands,"Not Egalitarian
Not Free Haven",
Distinguished Admiralty,"The Fleet and the Admiralty have unusually prominent roles in this society, wielding a great deal of influence in political circles. They have the pick of the litter when it comes to new military recruits.","+2 Commander starting level
−25% Commander upkeep
+10% Ship fire rate
+20% Fleet command limit",Lord High Admiral,Eater of Worlds,Militarist,
Environmentalist,This society seeks to co-exist in harmony with nature. Great care is taken to preserve the environment and limit consumerism where possible.,"Can construct Ranger Lodge buildings
Can construct Ranger Lodge holdings
Start with a Ranger Lodge building
−20% Pop consumer goods upkeep
Cannot use the Strip Mine Planet decision
Replaces Industrial Wasteland with natural blocker on homeworld if starting civic",First Warden,Composer of Strands,"Not Oppressive Autocracy
Not Relentless Industrialists",
Exalted Priesthood,"To guard against heresy, this society is ruled by a religious council consisting of the wisest and most pious members of the clergy.","+1 Unity per 100  Priests
Capital buildings replace Politician jobs with High Priest jobs
Capital buildings replace Politician jobs with Technophant jobs",Archpriest,,"Oligarchic or Dictatorial
Spiritualist",
Feudal Society,"This society is organized in a feudal manner, with a monarch whose rule relies on powerful vassals that govern their territories with considerable autonomy.","+5% Subject naval capacity contribution
+25 Subjugation acceptance
+1 Subjects exempt from Divided Patronage
Can always Propose Subjugation
Cannot use Expansion Prohibited terms of agreement
Cannot use Limited Diplomacy terms of agreement
Cannot use No Subject Conflicts terms of agreement",Chief Herald of Arms,Eater of Worlds,Imperial,
Free Haven,"This society has a well-earned reputation as a free haven. The tired, the poor, the huddled masses yearning to breathe free - all are welcome here, regardless of their species or origin.","+25% Automatic resettlement destination chance
+5% Worker happiness
+5% Happiness ( Machine founder species)
+50% Refugee attraction",Integration Facilitator,Cradle of Souls,"Xenophile
Not Corvée System
Not Oppressive Autocracy",
Idealistic Foundation,"This society was founded on strong idealistic values. Whether the current government remains true to them or not, the people have not forgotten.","+10% Citizen pop happiness
+10% Refugee attraction",Tribune of Rights,Cradle of Souls,Egalitarian,
Imperial Cult,This society has a dominant state religion where the ruler is worshiped as a living deity.,"+100 Edict fund
+100 Priest jobs per total ruler level
 on ruler's home planet",Prime Herald,,"Imperial
Authoritarian
Spiritualist
Not Chosen",
Meritocracy,An individual's social station or personal connections should have no bearing on their profession. The sole basis for advancement in this society is demonstrated ability and talent.,"+10% Specialist pop resource output
+1 Additional leader trait options",Principal Instructor,Cradle of Souls,Democratic or Oligarchic,
Mining Guilds,Several large mining guilds have reached a dominant position in this society. The government relies heavily on their support.,+1 Minerals per 100 Miners,Chairman of the Mines,Instrument of Desire,Not Tankbound,
Nationalistic Zeal,A strong sense of nationalistic pride permeates all layers of this society.,"−20% War exhaustion gain
−15% Claim influence cost
+5% Diplomatic weight per rival",Standard Bearer,Eater of Worlds,Militarist,
Parliamentary System,The parliamentary system in this society encourages a free and lively debate. Currying favor with one of the dominant political factions can prove to be quite advantageous.,"+20% Faction resource output
+50% Disapporoval from unmet faction demands
Factions will form within 3 months but have halved resource production",Speaker of Parliament,Cradle of Souls,"Democratic
Not Crowdsourcing
Not Secret Societies
Not Media Conglomerate
Not Hard Reset",
Philosopher King,It is not enough to simply rule. The Ship of State must be guided by a king that wields enough wisdom and knowledge to steer it true.,"+5 Effective ruler skill
Heir has double chance to be the same class as ruler",Lord Chancellor,,Dictatorial or Imperial,
Police State,"To quash any traces of dissent, the population in this repressive society is carefully monitored and controlled by a large internal police force.","+3 Stability
+10% Enforcer job efficiency
+10% Telepath job efficiency
+1 Unity per 100 Enforcers",Chief of Secret Police,Instrument of Desire,"Not Fanatic Egalitarian
Not Civil Education",
Shadow Council,"Unbeknownst to its own citizens, this society is actually manipulated from behind the scenes by a secretive shadow council. Appearances must be kept, but the tyranny of the majority should also be guarded against. After all, what if the fools vote for the wrong candidate?","−75% Election Cost
 +1 Effective councilor skill
 +1 Codebreaking
 +10% Infiltration speed
 +5 Election term variance years",Shadow Councilor,Instrument of Desire,Democratic or Oligarchic or Dictatorial,
Slaver Guilds,Much of the true political power in this society rests with a number of powerful and ruthless slaver guilds. They know how to get the most out of a slave.,"+15% Job efficiency for slaves
−25% Refugee attraction",Labor Magistrate,Instrument of Desire,"Authoritarian
Not Tankbound
Not Pleasure Seekers
Not Indentured Assets",
Technocracy,"To maximize efficiency, this society is governed according to the principles of science and rationality. The personal whims of an ignorant and dangerously unqualified political elite must not be allowed to interfere.","+1 Research alternatives
+1 Scientist capacity
−1 Official capacity
Politician jobs are replaced with Science Director jobs
Scientists start with a random Expertise trait
Expertise traits increase job research output for their fields if governing a planet or sector
Starting Official governing the homeworld is replaced by a Scientist",Senior Science Director,,"Materialist
Not Shared Burdens",
Warrior Culture,"This society has developed into a hardy warrior culture. Martial prowess is valued above all else, and true glory can only be found on the field of battle.","Replaces Entertainer jobs with Duelist jobs
Replaces Conserved Fauna jobs with Gladiatorial Beast jobs
+20% Army damage
−10% War exhaustion gain
+1 Enclave capacity
Start with a Holo-Theatres building",Arbiter of Duels,Eater of Worlds,"Militarist
Not Oppressive Autocracy
Not Pleasure Seekers",
Ascensionists,The ultimate goal of this empire is to ascend to ever greater levels of fulfillment.,"+25% Planetary ascension effects
−10% Planetary ascension cost
−25% Tradition cost from empire size Capital starts at ascension tier 1",Minister of Ascension,Instrument of Desire,"Spiritualist
Not Gigacorp","Utopia
Astral Planes"
